Structure,Name,source file,MW,AlogP,RB,PSA,Estate,MR,Polar,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,#NandO,RuleOfFive,RuleOfThree,#ringatoms,#in34,#in56,#noncon,#nonHatm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Num aromatic rings,,Num chiral centers,Num heavy atoms,,,,,,Num rings,,,,,Total charge
,Bitter 488,bitterpredict.maegz,152.2334,3.0837,4,37.889,25.334,50.1241,18.826,2,0,0,0,0,4,1,0,432.872,324.992,82.449,25.431,0,695.34,0,2,0.033035,0,0.8768731,19.348,5.347,6.962,2.582,2.317,-2.722,-1.378,-3.646,1636.945,-0.392,842.744,-2.565,9.694,0.329,5,-0.068,3,100,0,0,1,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,11,,,,,,0,,,,,0
,Bitter 488,bitterpredict.maegz,152.2334,3.0837,4,37.704,25.334,50.1241,18.826,2,0,0,0,0,4,1,0,424.105,320.121,75.894,28.089,0,687.188,0,2,0.03388,0,0.8879919,19.047,5.32,6.866,2.535,2.312,-2.556,-1.378,-3.478,1888.849,-0.319,983.754,-2.435,9.742,0.326,5,-0.092,3,100,0,0,1,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,11,,,,,,0,,,,,0
,Bitter 489,bitterpredict.maegz,196.286,3.3132,6,38.933,32.001,60.3336,23.133,1,0,0,0,0,5,1,0,532.176,442.893,66.093,23.19,0,861.94,0,2,0.0125832,0,0.8230527,25.352,6.659,8.532,2.474,3.514,-4.441,-2.314,-4.506,2339.604,-0.388,1239.793,-2.176,9.577,-0.545,6,0.373,3,100,0,0,2,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,14,,,,,,0,,,,,0
,Bitter 489,bitterpredict.maegz,196.286,3.3132,6,38.933,32.001,60.3336,23.133,1,0,0,0,0,5,1,0,517.494,431.477,60.65,25.367,0,851.209,0,2,0.0091166,0,0.8393655,24.943,6.59,8.368,2.417,3.484,-4.163,-2.314,-4.252,2634.863,-0.312,1409.742,-2.068,9.538,-0.539,6,0.342,3,100,0,0,2,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,14,,,,,,0,,,,,0
,Bitter 490,bitterpredict.maegz,182.2594,3.2344,6,48.846,30.334,56.2616,21.298,2,0,0,0,0,5,1,-1,497.048,370.493,103.609,22.947,0,800.328,0,2,0.0131341,0,0.8387099,22.884,6.343,7.903,2.643,2.852,-3.775,-2.016,-4.251,1031.286,-0.72,511.46,-2.868,9.568,-0.563,6,0.194,3,100,0,0,2,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,13,,,,,,0,,,,,0
,Bitter 490,bitterpredict.maegz,182.2594,3.2344,6,46.273,30.334,56.2616,21.298,2,0,0,0,0,5,1,0,435.54,341.117,77.542,16.882,0,739.446,0,2,0.0146137,0,0.9079764,20.389,5.945,7.085,2.277,2.628,-2.609,-2.016,-3.102,1822.097,-0.365,946.231,-2.409,9.498,-0.646,6,0.017,3,100,0,0,2,0,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,13,,,,,,0,,,,,0
,Bitter 491,bitterpredict.maegz,134.1751,1.6933,2,21.735,23.167,43.1925,19.648,2,0,0,0,0,3,0,0,363.28,87.645,50.185,225.45,0,559.656,1,1.7,0.0078162,0.0046796,0.904075,16.47,5.535,7.151,4.946,2.018,-1.196,-1.598,-4.159,3311.28,-0.027,1804.696,-1.362,8.968,0.068,1,-0.321,3,100,0,0,1,0,0,6,0,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,,,,,,1,,,,,0
,Bitter 491,bitterpredict.maegz,134.1751,1.6933,2,22.915,23.167,43.1925,19.648,2,0,0,0,0,3,0,0,360.17,88.215,57.148,214.808,0,556.311,1,1.7,0.0076485,0.00472,0.9082446,16.235,5.514,7.092,4.913,1.613,-1.177,-1.598,-4.041,2844.258,-0.079,1531.217,-1.528,9.26,0.025,1,-0.329,3,100,0,0,1,0,0,6,0,6,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,,,,,,1,,,,,0
,Bitter 492,bitterpredict.maegz,162.1852,1.9936,4,48.885,29.667,48.272,21.569,1,0,0,0,0,3,1,0,421.194,93.991,103.354,223.849,0,653.949,0,2,0.0132127,0,0.865058,20.228,6.36,7.427,4.267,2.277,-2.503,-1.949,-4.783,1037.044,-0.538,514.547,-2.348,9.273,0.337,1,-0.146,3,94.256,0,0,2,0,0,6,0,6,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,12,,,,,,1,,,,,0
,Bitter 492,bitterpredict.maegz,162.1852,1.9936,4,48.852,29.667,48.272,21.569,1,0,0,0,0,3,1,0,415.382,96.741,103.312,215.328,0,647.298,0,2,0.0101647,0,0.8712043,19.881,6.275,7.264,4.194,2.253,-2.453,-1.949,-4.643,1037.977,-0.525,515.047,-2.377,9.379,0.181,1,-0.165,3,94.121,0,0,2,0,0,6,0,6,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,12,,,,,,1,,,,,0
,Bitter 493,bitterpredict.maegz,210.3126,3.9801,7,36.867,33.501,64.9605,24.968,1,0,0,0,0,6,1,0,523.392,447.663,47.952,27.776,0,896.769,0,2,0.0132424,0,0.8592612,26.147,7.067,8.822,2.14,3.872,-4.111,-2.612,-3.942,3476.711,-0.231,1902.344,-1.729,9.57,-0.554,7,0.432,3,100,0,0,2,0,1,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,15,,,,,,0,,,,,0
,Bitter 493,bitterpredict.maegz,210.3126,3.9801,7,37.007,33.501,64.9605,24.968,1,0,0,0,0,6,1,0,561.338,483.179,54.312,23.847,0,921.053,0,2,0.0125045,0,0.815575,27.082,7.171,9.029,2.248,3.982,-4.831,-2.612,-4.63,3025.931,-0.342,1637.2,-1.86,9.584,-0.551,7,0.502,3,100,0,0,2,0,1,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,15,,,,,,0,,,,,0
,Bitter 494,bitterpredict.maegz,120.1485,1.5166,2,37.539,22.167,36.4402,17.454,3,0,0,0,0,2,0,0,332.527,61.581,74.074,196.872,0,507.29,0,2,0.0236632,0,0.9250729,14.744,4.915,5.618,3.891,1.659,-1.031,-1.056,-3.683,1965.441,-0.134,1026.941,-1.999,9.732,-0.05,1,-0.529,3,95.608,0,0,1,0,0,6,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,,,,,,1,,,,,0
,Bitter 495,bitterpredict.maegz,125.1469,-1.2682,2,90.095,27.917,24.5659,10.27,5,1,0,1,0,4,0,-1,289.977,85.57,202.239,0,2.168,420.464,2,4,0.1116008,0.0195079,0.9360255,8.105,4.04,8.771,7.78,-2.921,0.432,0.476,-1.486,7.561,-0.813,3.644,-6.925,10.016,0.315,2,-1.086,2,25.567,0,0,4,0,1,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,7,,,,,,0,,,,,0
,Bitter 496,bitterpredict.maegz,212.1993,1.7557,4,101.366,45.835,51.94,23.672,0,0,0,0,0,6,1,-2,463.037,174.148,205.371,83.517,0,736.365,3,4.25,0.026784,0.0158977,0.8516842,20.26,7.566,13.349,10.055,0.511,-2.174,-2.201,-4.33,111.78,-1.686,46.317,-4.434,9.125,0.495,3,-0.501,3,66.601,0,0,5,0,0,6,0,6,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,15,,,,,,1,,,,,0
,Bitter 497,bitterpredict.maegz,180.164,0.1701,0,72.68,36.168,45.5072,19.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,13,,,,,,2,,,,,0
,Bitter 498,bitterpredict.maegz,122.1644,1.5467,2,23.15,20.667,37.6285,18.005,3,0,0,0,0,3,0,0,340.144,86.651,56.616,196.876,0,519.772,1,1.7,0.0074597,0.0049979,0.9191323,14.601,5.094,6.507,4.739,1.739,-1.03,-1.374,-3.779,2877.438,-0.064,1550.534,-1.581,9.612,-0.274,2,-0.423,3,100,0,0,1,0,0,6,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,9,,,,,,1,,,,,0
,Bitter 499,bitterpredict.maegz,131.1729,0.5244,3,74.46,27.833,34.1705,13.858,1,1,0,1,0,4,0,-1,348.235,199.3,148.935,0,0,539.188,3,3,0.0048621,0.0149214,0.9199948,12.856,5.034,9.577,8.037,-1.52,-0.714,0.227,-1.745,24.213,-0.452,12.474,-5.943,9.736,-0.568,3,-0.857,2,42.816,0,0,3,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,9,,,,,,0,,,,,0
,Bitter 500,bitterpredict.maegz,165.1891,0.8486,3,74.155,34.167,45.1159,21.277,0,1,0,1,0,4,0,-1,377.765,44.647,147.238,185.879,0,607.303,3,3,0.0032243,0.013755,0.9180804,17.357,7.044,11.424,9.361,-1.15,-0.769,-0.655,-2.663,25.127,-0.444,12.984,-5.257,9.514,-0.2,4,-0.71,2,45.273,0,0,3,0,0,6,0,6,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,12,,,,,,1,,,,,0
,Bitter 501,bitterpredict.maegz,74.0785,0.0211,1,26.3,16.167,17.4128,7.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5,,,,,,0,,,,,0
,Bitter 502,bitterpredict.maegz,160.1693,2.4977,0,40.68,29.168,44.7614,22.064,0,0,0,0,0,0,1,0,364.081,88.242,72.011,203.828,0,573.676,0,2.5,0.0803264,0,0.9170889,18.751,5.591,8.122,4.934,1.465,-1.857,-1.914,-3.846,2055.994,-0.007,1078.176,-2.129,9.416,0.974,1,-0.385,3,94.823,0,0,2,0,0,10,0,10,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,12,,,,,,2,,,,,0
,Bitter 503,bitterpredict.maegz,138.1638,2.0324,1,29.46,24.501,39.2565,18.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,,,,,,1,,,,,0
,Bitter 504,bitterpredict.maegz,136.234,3.4488,1,0,17.667,47.5528,17.966,7,0,0,0,0,1,0,2,393.329,328.302,0,65.028,0,628.365,0,0,0.0000037,0,0.9020207,18.972,4.546,5.105,-0.058,4.101,-4.15,-4.357,-3.428,9906.038,0.849,5899.293,-1.194,9.081,-1.059,4,0.4,3,100,0,0,0,0,0,6,0,6,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,10,,,,,,1,,,,,0
,Bitter 505,bitterpredict.maegz,136.234,3.4488,1,0,17.667,47.5528,17.966,6,0,0,0,0,1,0,2,392.494,332.054,0,60.44,0,629.333,0,0,0.000501,0,0.9048694,18.967,4.549,5.109,-0.152,4.084,-4.153,-4.367,-3.36,9906.038,0.857,5899.293,-1.211,8.646,-0.27,4,0.402,3,100,0,0,0,0,0,6,0,6,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,10,,,,,,1,,,,,0
,Bitter 506,bitterpredict.maegz,192.2542,3.0552,5,35.05,32.167,55.9814,25.431,1,0,0,0,0,4,1,0,490.286,248.571,44.981,196.734,0,788.423,0,2,0.0098251,0,0.8418255,24.709,7.046,8.529,3.631,3.398,-3.804,-2.588,-5.03,3709.718,-0.101,2040.517,-1.271,9.709,-0.169,2,0.202,3,100,0,0,2,0,0,6,0,6,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,14,,,,,,1,,,,,0
,Bitter 507,bitterpredict.maegz,206.2808,3.5114,6,35.085,33.667,60.5824,27.266,1,0,0,0,0,5,1,0,524.071,281.972,45.341,196.757,0,849.914,0,2,0.0094691,0,0.8279902,26.528,7.629,9.094,3.494,3.783,-4.279,-2.886,-5.254,3680.687,-0.179,2023.262,-1.182,9.661,-0.223,2,0.338,3,100,0,0,2,0,0,6,0,6,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,15,,,,,,1,,,,,0
,Bitter 508,bitterpredict.maegz,150.1745,1.847,4,48.885,27.167,42.708,19.926,1,0,0,0,0,3,1,0,398.837,98.769,103.305,196.763,0,613.546,0,2,0.0120553,0,0.8755241,18.353,5.811,6.734,4.028,2.075,-2.264,-1.694,-4.485,1038.144,-0.516,515.137,-2.442,9.722,-0.159,1,-0.263,3,93.082,0,0,2,0,0,6,0,6,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,,,,,,1,,,,,0
,Bitter 509,bitterpredict.maegz,116.1583,1.5605,4,37.081,20.667,31.3119,12.507,6,0,0,0,0,3,1,0,373.481,316.375,57.105,0,0,556.097,0,2,0.0165629,0,0.8756506,14.175,3.456,4.786,2.314,1.42,-1.22,-0.612,-3.544,2846.891,-0.114,1532.749,-2.284,11.068,-0.995,1,-0.43,3,100,0,0,2,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,8,,,,,,0,,,,,0
,Bitter 510,bitterpredict.maegz,102.1317,0.8936,3,38.961,19.167,26.685,10.672,9,0,0,0,0,2,1,0,342.966,274.787,68.179,0,0,495.792,0,2,0.0187243,0,0.8833113,12.403,2.913,4.305,2.537,1.248,-0.957,-0.314,-3.42,2235.419,-0.14,1180.227,-2.584,11.172,-1,0,-0.563,3,94.2,0,0,2,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,7,,,,,,0,,,,,0
,Bitter 511,bitterpredict.maegz,88.1051,0.8148,3,48.918,17.5,22.613,8.837,9,0,0,0,0,2,1,0,308.587,203.866,104.721,0,0,435.029,0,2,0.0185407,0,0.8997738,9.972,2.628,3.672,2.703,0.648,-0.228,-0.016,-3.154,1006.546,-0.419,498.21,-3.257,11.298,-0.939,0,-0.739,3,84.487,0,0,2,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,6,,,,,,0,,,,,0
,Bitter 512,bitterpredict.maegz,128.212,2.2477,5,29.044,20.167,39.2257,15.54,4,0,0,0,0,5,1,0,397.689,344.33,53.359,0,0,622.246,0,2,0.0236592,0,0.8863322,15.538,4.259,5.298,1.906,2.066,-1.757,-0.868,-3.371,3089.541,-0.191,1674.431,-2.023,10.692,-0.71,1,-0.323,3,100,0,0,1,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,9,,,,,,0,,,,,0
,Bitter 513,bitterpredict.maegz,150.1314,1.3575,1,35.53,28.501,38.4159,17.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,,,,,,2,,,,,0
,Bitter 514,bitterpredict.maegz,151.1626,0.9388,2,59.121,29.501,42.2859,19.442,2,0,0,0,0,2,1,0,369.317,98.371,102.758,168.188,0,568.672,1,2,0.0016437,0.0054154,0.8988221,16.926,5.55,7.58,5.444,1.625,-1.383,-1.834,-3.971,1050.618,-0.405,521.83,-2.629,8.272,0.2,2,-0.301,3,90.541,0,0,3,0,0,6,0,6,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,11,,,,,,1,,,,,0
,Bitter 515,bitterpredict.maegz,136.1479,1.573,2,26.3,25.834,39.1122,18.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,10,,,,,,1,,,,,0
,Bitter 516,bitterpredict.maegz,206.2808,3.3007,6,33.883,33.667,60.5565,27.266,1,0,0,0,0,5,1,0,477.432,257.276,50.935,169.221,0,814.907,0,2,0.011789,0,0.8837427,24.864,7.409,8.682,3.233,3.484,-3.437,-2.886,-4.22,3257.503,-0.173,1773.037,-1.382,9.65,-0.237,2,0.236,3,100,0,0,2,0,0,6,0,6,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,15,,,,,,1,,,,,0
,Bitter 517,bitterpredict.maegz,198.3019,3.4821,8,38.983,31.667,58.5647,23.325,2,0,0,0,0,7,1,0,542.751,438.971,68.469,35.312,0,879.673,0,2,0.0084251,0,0.818047,24.893,6.929,8.265,2.157,3.628,-4.316,-2.357,-4.645,2221.327,-0.54,1172.188,-1.985,9.916,-0.999,2,0.339,3,100,0,0,2,0,0,0,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,14,,,,,,0,,,,,0
,Bitter 518,bitterpredict.maegz,144.2545,3.2517,7,20.23,20,45.1395,17.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,10,,,,,,0,,,,,0
